"","year","state","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft"
"1",2016,"AK","Alaska",741522,5966,52,850,4011,24876,4053,17766,3057
"2",2016,"AL","Alabama",4860545,25878,407,4687,18869,143259,34045,97498,11716
"3",2016,"AR","Arkansas",2988231,16563,217,2125,12007,98092,23814,67091,7187
"4",2016,"AZ","Arizona",6908642,32542,389,7045,21804,207317,38216,150618,18483
"5",2016,"CA","California",39296476,174796,1930,54789,104375,1002070,188304,637010,176756
"6",2016,"CO","Colorado",5530105,19030,189,3525,11681,152146,23825,108680,19641
"7",2016,"CT","Connecticut",3587685,8169,79,2711,4588,64875,10107,47642,7126
"8",2016,"DC","District of Columbia",684336,8236,136,3500,4067,32377,2361,27089,2927
"9",2016,"DE","Delaware",952698,4859,58,1359,3131,26370,5028,19812,1530
"10",2016,"FL","Florida",20656589,88700,1111,20175,59816,553812,100325,410352,43135
"11",2016,"GA","Georgia",10313620,40268,682,12114,24091,307305,62715,218127,26463
"12",2016,"HI","Hawaii",1428683,3452,35,985,1831,42353,5983,30871,5499
"13",2016,"IA","Iowa",3130869,9170,73,1150,6669,65888,15306,45580,5002
"14",2016,"ID","Idaho",1680026,3876,49,213,2895,29357,6318,20962,2077
"15",2016,"IL","Illinois",12835726,56054,1061,17829,32161,263256,48193,195196,19867
"16",2016,"IN","Indiana",6634007,26516,431,7291,16345,168460,33567,120454,14439
"17",2016,"KS","Kansas",2907731,11665,132,1757,8158,82293,14759,60119,7415
"18",2016,"KY","Kentucky",4436113,10452,265,3371,5068,97713,20932,66833,9948
"19",2016,"LA","Louisiana",4686157,26477,555,5575,18528,154511,34689,109492,10330
"20",2016,"MA","Massachusetts",6823721,25975,135,5365,18334,106430,19204,79155,8071
"21",2016,"MD","Maryland",6024752,29019,536,10815,15841,139716,24832,100995,13889
"22",2016,"ME","Maine",1330232,1649,20,268,948,21908,4001,17131,776
"23",2016,"MI","Michigan",9933445,45782,612,7123,30779,190249,39738,130249,20262
"24",2016,"MN","Minnesota",5525050,13365,101,3730,7185,117723,18582,90421,8720
"25",2016,"MO","Missouri",6091176,31720,538,6576,22049,170661,31716,120649,18296
"26",2016,"MS","Mississippi",2985415,8411,237,2433,4459,82521,23489,54725,4307
"27",2016,"MT","Montana",1038656,3886,37,268,2983,28156,3966,21427,2763
"28",2016,"NC","North Carolina",10156689,37767,678,9336,24906,277765,72082,190377,15306
"29",2016,"ND","North Dakota",755548,1905,16,181,1352,17451,3248,12249,1954
"30",2016,"NE","Nebraska",1907603,5661,49,946,3558,43197,6459,32009,4729
"31",2016,"NH","New Hampshire",1335015,2668,19,431,1609,20323,2989,16454,880
"32",2016,"NJ","New Jersey",8978416,21861,378,8940,11089,138012,25229,101459,11324
"33",2016,"NM","New Mexico",2085432,14585,139,2737,10182,81930,17280,52907,11743
"34",2016,"NV","Nevada",2939254,19924,228,6338,11629,75922,18816,43949,13157
"35",2016,"NY","New York",19836286,74315,629,22310,45095,305224,39850,250990,14384
"36",2016,"OH","Ohio",11622554,35759,683,12574,16748,300945,67081,214102,19762
"37",2016,"OK","Oklahoma",3921207,17855,247,3174,12334,118010,29376,76358,12276
"38",2016,"OR","Oregon",4085989,10983,116,2307,6776,121716,16919,91507,13290
"39",2016,"PA","Pennsylvania",12787085,40389,674,12314,22942,222394,35178,174147,13069
"40",2016,"RI","Rhode Island",1057566,2529,29,541,1514,18910,3650,14157,1103
"41",2016,"SC","South Carolina",4959822,25137,358,4071,18217,161534,33149,114455,13930
"42",2016,"SD","South Dakota",861542,3636,28,274,2808,17207,3002,12705,1500
"43",2016,"TN","Tennessee",6649404,42459,495,7829,31332,191199,40607,135353,15239
"44",2016,"TX","Texas",27904862,121064,1478,33298,72842,769892,148796,552106,68990
"45",2016,"UT","Utah",3044321,7406,74,1528,4244,90561,12938,68261,9362
"46",2016,"VA","Virginia",8414380,18495,482,4826,10357,157292,20159,127285,9848
"47",2016,"VT","Vermont",623354,851,14,78,589,9705,1884,7637,184
"48",2016,"WA","Washington",7280934,22101,195,5649,13124,254994,49249,173423,32322
"49",2016,"WI","Wisconsin",5772917,17716,232,4707,10772,111911,19498,82455,9958
"50",2016,"WV","West Virginia",1828637,6633,85,720,5144,37282,9127,25657,2498
"51",2016,"WY","Wyoming",584910,1431,20,59,1146,11460,1771,8889,800
