"","state_fips_code","county_fips_code","naics","est","year"
"1","1","1","71391/",1,2016
"2","1","1","713910",1,2016
"3","1","1","71394/",6,2016
"4","1","1","713940",6,2016
"5","1","1","71395/",1,2016
"6","1","1","713950",1,2016
"7","1","1","71399/",2,2016
"8","1","1","713990",2,2016
"9","1","1","7212//",1,2016
"10","1","1","72121/",1,2016
"11","1","1","721211",1,2016
"12","1","3","61162/",9,2016
"13","1","3","611620",9,2016
"14","1","3","71213/",2,2016
"15","1","3","712130",2,2016
"16","1","3","71311/",2,2016
"17","1","3","713110",2,2016
"18","1","3","71391/",7,2016
"19","1","3","713910",7,2016
"20","1","3","71394/",21,2016
"21","1","3","713940",21,2016
"22","1","3","71395/",1,2016
"23","1","3","713950",1,2016
"24","1","3","71399/",19,2016
"25","1","3","713990",19,2016
"26","1","3","7212//",12,2016
"27","1","3","72121/",12,2016
"28","1","3","721211",8,2016
"29","1","3","721214",4,2016
"30","1","5","61162/",1,2016
"31","1","5","611620",1,2016
"32","1","5","71391/",1,2016
"33","1","5","713910",1,2016
"34","1","5","71399/",1,2016
"35","1","5","713990",1,2016
"36","1","5","7212//",4,2016
"37","1","5","72121/",4,2016
"38","1","5","721211",2,2016
"39","1","5","721214",2,2016
"40","1","7","71391/",1,2016
"41","1","7","713910",1,2016
"42","1","7","71394/",1,2016
"43","1","7","713940",1,2016
"44","1","7","71399/",1,2016
"45","1","7","713990",1,2016
"46","1","9","71311/",1,2016
"47","1","9","713110",1,2016
"48","1","9","71391/",4,2016
"49","1","9","713910",4,2016
"50","1","9","71394/",4,2016
"51","1","9","713940",4,2016
"52","1","9","71399/",1,2016
"53","1","9","713990",1,2016
"54","1","11","71391/",1,2016
"55","1","11","713910",1,2016
"56","1","11","71399/",1,2016
"57","1","11","713990",1,2016
"58","1","11","7212//",2,2016
"59","1","11","72121/",2,2016
"60","1","11","721214",2,2016
"61","1","13","71391/",3,2016
"62","1","13","713910",3,2016
"63","1","13","71394/",1,2016
"64","1","13","713940",1,2016
"65","1","13","71399/",1,2016
"66","1","13","713990",1,2016
"67","1","13","7212//",1,2016
"68","1","13","72121/",1,2016
"69","1","13","721211",1,2016
"70","1","15","61162/",3,2016
"71","1","15","611620",3,2016
"72","1","15","71391/",5,2016
"73","1","15","713910",5,2016
"74","1","15","71394/",7,2016
"75","1","15","713940",7,2016
"76","1","15","71395/",1,2016
"77","1","15","713950",1,2016
"78","1","15","71399/",3,2016
"79","1","15","713990",3,2016
"80","1","15","7212//",2,2016
"81","1","15","72121/",2,2016
"82","1","15","721211",1,2016
"83","1","15","721214",1,2016
"84","1","17","71395/",1,2016
"85","1","17","713950",1,2016
"86","1","17","7212//",1,2016
"87","1","17","72121/",1,2016
"88","1","17","721214",1,2016
"89","1","19","71391/",1,2016
"90","1","19","713910",1,2016
"91","1","19","71394/",1,2016
"92","1","19","713940",1,2016
"93","1","19","7212//",1,2016
"94","1","19","72121/",1,2016
"95","1","19","721211",1,2016
"96","1","21","71391/",1,2016
"97","1","21","713910",1,2016
"98","1","21","71394/",2,2016
"99","1","21","713940",2,2016
"100","1","23","71391/",1,2016
"101","1","23","713910",1,2016
"102","1","23","71399/",1,2016
"103","1","23","713990",1,2016
"104","1","23","7212//",1,2016
"105","1","23","72121/",1,2016
"106","1","23","721214",1,2016
"107","1","25","61162/",1,2016
"108","1","25","611620",1,2016
"109","1","25","71391/",1,2016
"110","1","25","713910",1,2016
"111","1","25","71394/",2,2016
"112","1","25","713940",2,2016
"113","1","25","71399/",1,2016
"114","1","25","713990",1,2016
"115","1","29","7212//",1,2016
"116","1","29","72121/",1,2016
"117","1","29","721214",1,2016
"118","1","31","61162/",1,2016
"119","1","31","611620",1,2016
"120","1","31","71391/",3,2016
"121","1","31","713910",3,2016
"122","1","31","71394/",4,2016
"123","1","31","713940",4,2016
"124","1","31","71395/",1,2016
"125","1","31","713950",1,2016
"126","1","31","7212//",3,2016
"127","1","31","72121/",3,2016
"128","1","31","721214",3,2016
"129","1","33","71391/",2,2016
"130","1","33","713910",2,2016
"131","1","33","71394/",5,2016
"132","1","33","713940",5,2016
"133","1","33","71399/",2,2016
"134","1","33","713990",2,2016
"135","1","33","7212//",1,2016
"136","1","33","72121/",1,2016
"137","1","33","721211",1,2016
"138","1","35","71391/",1,2016
"139","1","35","713910",1,2016
"140","1","35","71399/",1,2016
"141","1","35","713990",1,2016
"142","1","39","61162/",1,2016
"143","1","39","611620",1,2016
"144","1","39","71391/",3,2016
"145","1","39","713910",3,2016
"146","1","39","71394/",4,2016
"147","1","39","713940",4,2016
"148","1","39","71395/",1,2016
"149","1","39","713950",1,2016
"150","1","39","71399/",3,2016
"151","1","39","713990",3,2016
"152","1","41","71391/",1,2016
"153","1","41","713910",1,2016
"154","1","41","7212//",1,2016
"155","1","41","72121/",1,2016
"156","1","41","721211",1,2016
"157","1","43","61162/",2,2016
"158","1","43","611620",2,2016
"159","1","43","71391/",2,2016
"160","1","43","713910",2,2016
"161","1","43","71394/",4,2016
"162","1","43","713940",4,2016
"163","1","43","71395/",1,2016
"164","1","43","713950",1,2016
"165","1","43","71399/",1,2016
"166","1","43","713990",1,2016
"167","1","45","61162/",1,2016
"168","1","45","611620",1,2016
"169","1","45","71219/",1,2016
"170","1","45","712190",1,2016
"171","1","45","71391/",1,2016
"172","1","45","713910",1,2016
"173","1","45","71394/",2,2016
"174","1","45","713940",2,2016
"175","1","45","7212//",1,2016
"176","1","45","72121/",1,2016
"177","1","45","721211",1,2016
"178","1","47","71213/",1,2016
"179","1","47","712130",1,2016
"180","1","47","71391/",1,2016
"181","1","47","713910",1,2016
"182","1","47","71394/",2,2016
"183","1","47","713940",2,2016
"184","1","47","7212//",1,2016
"185","1","47","72121/",1,2016
"186","1","47","721214",1,2016
"187","1","49","61162/",1,2016
"188","1","49","611620",1,2016
"189","1","49","71213/",1,2016
"190","1","49","712130",1,2016
"191","1","49","71391/",1,2016
"192","1","49","713910",1,2016
"193","1","49","71394/",3,2016
"194","1","49","713940",3,2016
"195","1","49","71399/",2,2016
"196","1","49","713990",2,2016
"197","1","49","7212//",7,2016
"198","1","49","72121/",7,2016
"199","1","49","721214",7,2016
"200","1","51","61162/",2,2016
"201","1","51","611620",2,2016
"202","1","51","71213/",1,2016
"203","1","51","712130",1,2016
"204","1","51","71391/",2,2016
"205","1","51","713910",2,2016
"206","1","51","71394/",4,2016
"207","1","51","713940",4,2016
"208","1","51","7212//",2,2016
"209","1","51","72121/",2,2016
"210","1","51","721214",2,2016
"211","1","53","71391/",1,2016
"212","1","53","713910",1,2016
"213","1","53","71394/",2,2016
"214","1","53","713940",2,2016
"215","1","53","71399/",1,2016
"216","1","53","713990",1,2016
"217","1","55","61162/",1,2016
"218","1","55","611620",1,2016
"219","1","55","71391/",3,2016
"220","1","55","713910",3,2016
"221","1","55","71394/",8,2016
"222","1","55","713940",8,2016
"223","1","55","71395/",1,2016
"224","1","55","713950",1,2016
"225","1","55","71399/",1,2016
"226","1","55","713990",1,2016
"227","1","55","7212//",1,2016
"228","1","55","72121/",1,2016
"229","1","55","721211",1,2016
"230","1","57","71391/",1,2016
"231","1","57","713910",1,2016
"232","1","59","71219/",1,2016
"233","1","59","712190",1,2016
"234","1","59","71391/",1,2016
"235","1","59","713910",1,2016
"236","1","59","71394/",3,2016
"237","1","59","713940",3,2016
"238","1","59","7212//",1,2016
"239","1","59","72121/",1,2016
"240","1","59","721211",1,2016
"241","1","61","71391/",1,2016
"242","1","61","713910",1,2016
"243","1","61","71399/",1,2016
"244","1","61","713990",1,2016
"245","1","61","7212//",1,2016
"246","1","61","72121/",1,2016
"247","1","61","721214",1,2016
"248","1","63","61162/",1,2016
"249","1","63","611620",1,2016
"250","1","63","71399/",1,2016
"251","1","63","713990",1,2016
"252","1","65","71391/",1,2016
"253","1","65","713910",1,2016
"254","1","67","71391/",1,2016
"255","1","67","713910",1,2016
"256","1","67","71399/",1,2016
"257","1","67","713990",1,2016
"258","1","69","61162/",4,2016
"259","1","69","611620",4,2016
"260","1","69","71213/",1,2016
"261","1","69","712130",1,2016
"262","1","69","71391/",4,2016
"263","1","69","713910",4,2016
"264","1","69","71394/",10,2016
"265","1","69","713940",10,2016
"266","1","69","71395/",2,2016
"267","1","69","713950",2,2016
"268","1","69","71399/",2,2016
"269","1","69","713990",2,2016
"270","1","71","71391/",2,2016
"271","1","71","713910",2,2016
"272","1","71","71394/",1,2016
"273","1","71","713940",1,2016
"274","1","71","71399/",2,2016
"275","1","71","713990",2,2016
"276","1","71","7212//",4,2016
"277","1","71","72121/",4,2016
"278","1","71","721211",3,2016
"279","1","71","721214",1,2016
"280","1","73","61162/",28,2016
"281","1","73","611620",28,2016
"282","1","73","71213/",3,2016
"283","1","73","712130",3,2016
"284","1","73","71219/",1,2016
"285","1","73","712190",1,2016
"286","1","73","71311/",2,2016
"287","1","73","713110",2,2016
"288","1","73","71391/",17,2016
"289","1","73","713910",17,2016
"290","1","73","71394/",73,2016
"291","1","73","713940",73,2016
"292","1","73","71395/",5,2016
"293","1","73","713950",5,2016
"294","1","73","71399/",30,2016
"295","1","73","713990",30,2016
"296","1","73","7212//",1,2016
"297","1","73","72121/",1,2016
"298","1","73","721214",1,2016
"299","1","75","71391/",1,2016
"300","1","75","713910",1,2016
"301","1","75","71399/",1,2016
"302","1","75","713990",1,2016
"303","1","75","7212//",1,2016
"304","1","75","72121/",1,2016
"305","1","75","721214",1,2016
"306","1","77","61162/",3,2016
"307","1","77","611620",3,2016
"308","1","77","71391/",1,2016
"309","1","77","713910",1,2016
"310","1","77","71394/",9,2016
"311","1","77","713940",9,2016
"312","1","77","71395/",1,2016
"313","1","77","713950",1,2016
"314","1","77","71399/",2,2016
"315","1","77","713990",2,2016
"316","1","77","7212//",1,2016
"317","1","77","72121/",1,2016
"318","1","77","721214",1,2016
"319","1","79","71394/",2,2016
"320","1","79","713940",2,2016
"321","1","81","61162/",9,2016
"322","1","81","611620",9,2016
"323","1","81","71391/",4,2016
"324","1","81","713910",4,2016
"325","1","81","71394/",7,2016
"326","1","81","713940",7,2016
"327","1","81","71395/",1,2016
"328","1","81","713950",1,2016
"329","1","81","71399/",3,2016
"330","1","81","713990",3,2016
"331","1","81","7212//",4,2016
"332","1","81","72121/",4,2016
"333","1","81","721211",4,2016
"334","1","83","61162/",5,2016
"335","1","83","611620",5,2016
"336","1","83","71391/",1,2016
"337","1","83","713910",1,2016
"338","1","83","71394/",7,2016
"339","1","83","713940",7,2016
"340","1","83","71399/",3,2016
"341","1","83","713990",3,2016
"342","1","85","71394/",1,2016
"343","1","85","713940",1,2016
"344","1","89","61162/",20,2016
"345","1","89","611620",20,2016
"346","1","89","71213/",1,2016
"347","1","89","712130",1,2016
"348","1","89","71391/",7,2016
"349","1","89","713910",7,2016
"350","1","89","71394/",50,2016
"351","1","89","713940",50,2016
"352","1","89","71395/",3,2016
