"","year","gender","race","age_group","county","violent","property","f_drugoff","f_sexoff","f_allother","f_total","m_total","s_total"
"7213",2017,"Female","White","20 to 29","Amador County",5,2,3,0,8,18,34,0
"7214",2017,"Female","White","20 to 29","Butte County",41,41,13,0,22,117,645,0
"7215",2017,"Female","White","20 to 29","Calaveras County",13,5,1,0,3,22,66,0
"7216",2017,"Female","White","20 to 29","Colusa County",3,2,0,0,9,14,21,0
"7217",2017,"Female","White","20 to 29","Contra Costa County",51,130,24,1,45,251,550,0
"7218",2017,"Female","White","20 to 29","Del Norte County",12,10,6,0,3,31,82,0
"7219",2017,"Female","White","20 to 29","El Dorado County",36,19,8,0,35,98,251,0
"7220",2017,"Female","White","20 to 29","Fresno County",53,41,5,1,35,135,531,0
"7221",2017,"Female","White","20 to 29","Glenn County",9,3,1,0,5,18,43,0
"7222",2017,"Female","White","20 to 29","Humboldt County",40,21,5,0,27,93,426,0
"7223",2017,"Female","White","20 to 29","Imperial County",4,11,1,0,7,23,46,0
"7224",2017,"Female","White","20 to 29","Inyo County",4,2,0,0,1,7,17,0
"7225",2017,"Female","White","20 to 29","Kern County",84,117,18,0,65,284,1064,0
"7226",2017,"Female","White","20 to 29","Kings County",8,3,4,0,8,23,105,0
"7227",2017,"Female","White","20 to 29","Lake County",15,10,9,0,12,46,191,0
"7228",2017,"Female","White","20 to 29","Lassen County",12,4,2,0,2,20,28,0
"7229",2017,"Female","White","20 to 29","Los Angeles County",301,390,118,1,182,992,3117,0
"7230",2017,"Female","White","20 to 29","Madera County",11,3,1,0,8,23,98,0
"7231",2017,"Female","White","20 to 29","Marin County",6,16,3,1,7,33,147,0
"7232",2017,"Female","White","20 to 29","Mariposa County",0,1,0,1,0,2,18,0
"7233",2017,"Female","White","20 to 29","Mendocino County",17,14,8,0,18,57,143,0
"7234",2017,"Female","White","20 to 29","Merced County",13,13,2,0,8,36,176,0
"7235",2017,"Female","White","20 to 29","Modoc County",2,1,0,0,2,5,10,0
"7236",2017,"Female","White","20 to 29","Mono County",4,0,1,0,1,6,11,0
"7237",2017,"Female","White","20 to 29","Monterey County",21,25,4,1,14,65,217,0
"7238",2017,"Female","White","20 to 29","Napa County",17,12,0,0,9,38,122,0
"7239",2017,"Female","White","20 to 29","Nevada County",11,14,3,1,22,51,177,0
"7240",2017,"Female","White","20 to 29","Orange County",165,230,74,0,132,601,2706,0
"7241",2017,"Female","White","20 to 29","Placer County",38,50,17,0,60,165,467,0
"7242",2017,"Female","White","20 to 29","Plumas County",7,6,2,0,2,17,50,0
"7243",2017,"Female","White","20 to 29","Riverside County",111,162,25,0,83,381,1115,0
"7244",2017,"Female","White","20 to 29","Sacramento County",120,148,22,1,75,366,916,0
"7245",2017,"Female","White","20 to 29","San Benito County",4,1,1,0,0,6,35,0
"7246",2017,"Female","White","20 to 29","San Bernardino County",185,244,64,0,100,593,1251,0
"7247",2017,"Female","White","20 to 29","San Diego County",276,196,77,0,182,731,2466,0
"7248",2017,"Female","White","20 to 29","San Francisco County",56,33,15,0,47,151,252,0
"7249",2017,"Female","White","20 to 29","San Joaquin County",60,40,8,0,41,149,430,0
"7250",2017,"Female","White","20 to 29","San Luis Obispo County",31,21,7,0,14,73,608,0
